Stage;Date;Distance;Type;Mark;Winner;Winner_Country
1;2008;272;Plain stage;F;Georges Passerieu;FRA
2;2008;398;Plain stage;F;Lucien Petit-Breton;FRA
3;2008;259;Stage with mountain(s);M;François Faber;LUX
4;2008;309;Stage with mountain(s);M;François Faber;LUX
5;2008;311;Stage with mountain(s);M;Georges Passerieu;FRA
6;2008;345;Stage with mountain(s);M;Jean-Baptiste Dortignacq;FRA
7;2008;354;Plain stage;F;Lucien Petit-Breton;FRA
8;2008;303;Plain stage;F;François Faber;LUX
9;2008;299;Plain stage;F;Lucien Petit-Breton;FRA
10;2008;269;Plain stage;F;Georges Paulmier;FRA
11;2008;391;Plain stage;F;Lucien Petit-Breton;FRA
12;2008;321;Plain stage;F;François Faber;LUX
13;2008;415;Plain stage;F;Georges Passerieu;FRA
14;2008;251;Plain stage;F;Lucien Petit-Breton;FRA
1;2007;272;Plain stage;F;Louis Trousselier;FRA
2;2007;398;Plain stage;F;Louis Trousselier;FRA
4;2007;309;Stage with mountain(s);M;Marcel Cadolle;FRA
5;2007;311;Stage with mountain(s);M;Emile Georget;FRA
6;2007;345;Stage with mountain(s);M;Georges Passerieu;FRA
7;2007;345;Plain stage;F;Emile Georget;FRA
8;2007;303;Plain stage;F;Emile Georget;FRA
9;2007;299;Plain stage;F;Lucien Petit-Breton;FRA
10;2007;269;Plain stage;F;Gustave Garrigou;FRA
11;2007;391;Plain stage;F;Lucien Petit-Breton;FRA
12;2007;321;Plain stage;F;Gustave Garrigou;FRA
13;2007;415;Plain stage;F;Emile Georget;FRA
14;2007;251;Plain stage;F;Georges Passerieu;FRA
1;2006;275;Plain stage;F;Emile Georget;FRA
2;2006;400;Plain stage;F;René Pottier;FRA
3;2006;416;Stage with mountain(s);M;René Pottier;FRA
4;2006;311;Plain stage;F;René Pottier;FRA
5;2006;345;Stage with mountain(s);M;René Pottier;FRA
6;2006;292;Plain stage;F;Georges Passerieu;FRA
7;2006;480;Plain stage;F;Louis Trousselier;FRA
8;2006;300;Plain stage;F;Jean-Baptiste Dortignacq;FRA
9;2006;338;Plain stage;F;Louis Trousselier;FRA
10;2006;391;Plain stage;F;Louis Trousselier;FRA
11;2006;321;Plain stage;F;Louis Trousselier;FRA
12;2006;415;Plain stage;F;Georges Passerieu;FRA
13;2006;259;Plain stage;F;René Pottier;FRA
1;2005;340;Plain stage;F;Louis Trousselier;FRA
2;2005;299;Stage with mountain(s);M;Hippolyte Aucouturier;FRA
3;2005;327;Plain stage;F;Louis Trousselier;FRA
4;2005;348;Stage with mountain(s);M;Hippolyte Aucouturier;FRA
5;2005;192;Plain stage;F;Louis Trousselier;FRA
6;2005;307;Plain stage;F;Jean-Baptiste Dortignacq;FRA
7;2005;268;Plain stage;F;Louis Trousselier;FRA
8;2005;257;Plain stage;F;Hippolyte Aucouturier;FRA
9;2005;263;Plain stage;F;Louis Trousselier;FRA
10;2005;167;Plain stage;F;Jean-Baptiste Dortignacq;FRA
11;2005;253;Plain stage;F;Jean-Baptiste Dortignacq;FRA
1;2004;467;Plain stage;F;Maurice Garin;FRA
2;2004;374;Stage with mountain(s);M;Hippolyte Aucouturier;FRA
3;2004;424;Plain stage;F;Hippolyte Aucouturier;FRA
4;2004;268;Plain stage;F;Lucien Pothier;FRA
5;2004;425;Plain stage;F;Hippolyte Aucouturier;FRA
6;2004;471;Plain stage;F;Hippolyte Aucouturier;FRA
1;2003;467;Plain stage;F;Maurice Garin;FRA
2;2003;374;Stage with mountain(s);M;Hippolyte Aucouturier;FRA
3;2003;423;Plain stage;F;Hippolyte Aucouturier;FRA
4;2003;268;Plain stage;F;Charles Laeser;SUI
5;2003;425;Plain stage;F;Maurice Garin;FRA
6;2003;471;Plain stage;F;Maurice Garin;FRA
