Stage;Date;Winner;Winner_Country
14;1920;Félix Goethals;FRA
15;1920;Jean Rossius;BEL
1;1919;Jean Rossius;BEL
2;1919;Henri Pélissier;FRA
3;1919;Francis Pélissier;FRA
4;1919;Jean Alavoine;FRA
5;1919;Jean Alavoine;FRA
6;1919;Honore Barthelemy;FRA
7;1919;Jean Alavoine;FRA
8;1919;Jean Alavoine;FRA
9;1919;Honoré Barthélemy;FRA
10;1919;Honoré Barthélemy;FRA
11;1919;Honoré Barthélemy;FRA
12;1919;Luigi Lucotti;ITA
13;1919;Luigi Lucotti;ITA
14;1919;Firmin Lambot;BEL
15;1919;Jean Alavoine;FRA
1;1914;Philippe Thys;BEL
2;1914;Jean Rossius;BEL
3;1914;Emile Engel;FRA
4;1914;Oscar Egg;SUI
5;1914;Oscar Egg;SUI
6;1914;Firmin Lambot;BEL
7;1914;Jean Alavoine;FRA
8;1914;Octave Lapize;FRA
9;1914;Jean Rossius;BEL
10;1914;Henri Pélissier;FRA
11;1914;Gustave Garrigou;FRA
12;1914;Henri Pélissier;FRA
13;1914;François Faber;LUX
14;1914;François Faber;LUX
15;1914;Henri Pélissier;FRA
1;1913;Giovanni Micheletto;ITA
2;1913;Jules Masselis;BEL
3;1913;Henri Pelissier;FRA
4;1913;Marcel Buysse;BEL
5;1913;Henri Van Lerberghe;BEL
6;1913;Philippe Thys;BEL
7;1913;Marcel Buysse;BEL
8;1913;Gustave Garrigou;FRA
9;1913;Firmin Lambot;BEL
10;1913;Francois Faber;LUX
11;1913;Marcel Buysse;BEL
12;1913;Marcel Buysse;BEL
13;1913;François Faber;LUX
14;1913;Marcel Buysse;BEL
15;1913;Marcel Buysse;BEL
1;1912;Charles Crupelandt;FRA
2;1912;Odile Defraye;BEL
3;1912;Eugène Christophe;FRA
4;1912;Eugène Christophe;FRA
5;1912;Eugène Christophe;FRA
6;1912;Octave Lapize;FRA
7;1912;Odile Defraye;BEL
8;1912;Vicenzo Borgarello;ITA
9;1912;Odile Defraye;BEL
10;1912;Louis Mottiat;BEL
11;1912;Jean Alavoine;FRA
12;1912;Louis Heusghem;BEL
13;1912;Jean Alavoine;FRA
14;1912;Vicenzo Borgarello;ITA
15;1912;Jean Alavoine;FRA
1;1911;Gustave Garrigou;FRA
2;1911;Jules Masselis;BEL
3;1911;François Faber;LUX
4;1911;Charles Crupelandt;FRA
5;1911;Émile Georget;FRA
6;1911;François Faber;LUX
7;1911;Charles Crupelandt;FRA
8;1911;Paul Duboc;FRA
9;1911;Paul Duboc;FRA
10;1911;Maurice Brocco[n 2];FRA
11;1911;Paul Duboc;FRA
12;1911;Marcel Godivier;FRA
13;1911;Gustave Garrigou;FRA
14;1911;Paul Duboc;FRA
15;1911;Marcel Godivier;FRA
1;1910;Charles Crupelandt;FRA
2;1910;François Faber;LUX
3;1910;Emile Georget;FRA
4;1910;François Faber;LUX
5;1910;Octave Lapize;FRA
6;1910;Julien Maitron;FRA
7;1910;François Faber;LUX
8;1910;Georges Paulmier;FRA
9;1910;Octave Lapize;FRA
10;1910;Octave Lapize;FRA
11;1910;Ernest Paul;FRA
12;1910;Louis Trousselier;FRA
13;1910;Gustave Garrigou;FRA
14;1910;Octave Lapize;FRA
15;1910;Ernesto Azzini;ITA
1;1909;Cyrille van Hauwaert;BEL
2;1909;François Faber;LUX
3;1909;François Faber;LUX
4;1909;François Faber;LUX
5;1909;François Faber;LUX
6;1909;François Faber;LUX
7;1909;Ernest Paul;FRA
8;1909;Jean Alavoine;FRA
9;1909;Constant Ménager;FRA
10;1909;François Faber;LUX
11;1909;Louis Trousselier;FRA
12;1909;Gustave Garrigou;FRA
13;1909;Paul Duboc;FRA
14;1909;Jean Alavoine;FRA
1;1908;Georges Passerieu;FRA
2;1908;Lucien Petit-Breton;FRA
3;1908;François Faber;LUX
4;1908;François Faber;LUX
5;1908;Georges Passerieu;FRA
6;1908;Jean-Baptiste Dortignacq;FRA
7;1908;Lucien Petit-Breton;FRA
8;1908;François Faber;LUX
9;1908;Lucien Petit-Breton;FRA
10;1908;Georges Paulmier;FRA
11;1908;Lucien Petit-Breton;FRA
12;1908;François Faber;LUX
13;1908;Georges Passerieu;FRA
14;1908;Lucien Petit-Breton;FRA
1;1907;Louis Trousselier;FRA
2;1907;Emile Georget[n 2] Louis Trousselier[n 2];"c(""FRA"", ""FRA"")"
3;1907;Emile Georget;FRA
4;1907;Marcel Cadolle;FRA
5;1907;Emile Georget;FRA
6;1907;Georges Passerieu;FRA
7;1907;Emile Georget;FRA
8;1907;Emile Georget;FRA
9;1907;Lucien Petit-Breton;FRA
10;1907;Gustave Garrigou;FRA
11;1907;Lucien Petit-Breton;FRA
12;1907;Gustave Garrigou;FRA
13;1907;Emile Georget;FRA
14;1907;Georges Passerieu;FRA
1;1906;Emile Georget;FRA
2;1906;René Pottier;FRA
3;1906;René Pottier;FRA
4;1906;René Pottier;FRA
5;1906;René Pottier;FRA
6;1906;Georges Passerieu;FRA
7;1906;Louis Trousselier;FRA
8;1906;Jean-Baptiste Dortignacq;FRA
9;1906;Louis Trousselier;FRA
10;1906;Louis Trousselier;FRA
11;1906;Louis Trousselier;FRA
12;1906;Georges Passerieu;FRA
13;1906;René Pottier;FRA
1;1905;Louis Trousselier;FRA
2;1905;Hippolyte Aucouturier;FRA
3;1905;Louis Trousselier;FRA
4;1905;Hippolyte Aucouturier;FRA
5;1905;Louis Trousselier;FRA
6;1905;Jean-Baptiste Dortignacq;FRA
7;1905;Louis Trousselier;FRA
8;1905;Hippolyte Aucouturier;FRA
9;1905;Louis Trousselier;FRA
10;1905;Jean-Baptiste Dortignacq;FRA
11;1905;Jean-Baptiste Dortignacq;FRA
1;1904;Maurice Garin;FRA
2;1904;Hippolyte Aucouturier;FRA
3;1904;Hippolyte Aucouturier;FRA
4;1904;Lucien Pothier;FRA
5;1904;Hippolyte Aucouturier;FRA
6;1904;Hippolyte Aucouturier;FRA
1;1903;Maurice Garin;FRA
2;1903;Hippolyte Aucouturier;FRA
3;1903;Hippolyte Aucouturier;FRA
4;1903;Charles Laeser;SUI
5;1903;Maurice Garin;FRA
6;1903;Maurice Garin;FRA
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
