Stage,Year,Distance,Type,Mark,Winner,Winner_Country,country_iso
13,2023,300,Plain stage,F,Romain Bellenger,FRA,FR
14,2023,433,Plain stage,F,Félix Goethals,FRA,FR
15,2023,343,Plain stage,F,Félix Goethals,FRA,FR
1,2022,388,Plain stage,F,Robert Jacquinot,FRA,FR
2,2022,364,Plain stage,F,Romain Bellenger,FRA,FR
3,2022,405,Plain stage,F,Robert Jacquinot,FRA,FR
4,2022,412,Plain stage,F,Philippe Thys,BEL,BE
5,2022,482,Plain stage,F,Jean Alavoine,FRA,FR
6,2022,326,Stage with mountain(s),M,Jean Alavoine,FRA,FR
7,2022,323,Stage with mountain(s),M,Jean Alavoine,FRA,FR
8,2022,411,Plain stage,F,Philippe Thys,BEL,BE
9,2022,284,Stage with mountain(s),M,Philippe Thys,BEL,BE
10,2022,274,Stage with mountain(s),M,Philippe Thys,BEL,BE
11,2022,260,Stage with mountain(s),M,Emile Masson},BEL,BE
12,2022,371,Plain stage,F,Emile Masson,BEL,BE
13,2022,300,Plain stage,F,Federico Gay,ITA,IT
14,2022,433,Plain stage,F,Félix Sellier,BEL,BE
15,2022,340,Plain stage,F,Philippe Thys,BEL,BE
1,2021,388,Plain stage,F,Louis Mottiat,BEL,BE
2,2021,364,Plain stage,F,Romain Bellenger,FRA,FR
3,2021,405,Plain stage,F,Leon Scieur,BEL,BE
4,2021,412,Plain stage,F,Louis Mottiat,BEL,BE
5,2021,482,Plain stage,F,Louis Mottiat,BEL,BE
6,2021,326,Stage with mountain(s),M,Hector Heusghem,BEL,BE
7,2021,323,Stage with mountain(s),M,Louis Mottiat,BEL,BE
8,2021,411,Plain stage,F,Luigi Lucotti,ITA,IT
9,2021,272,Stage with mountain(s),M,Firmin Lambot,BEL,BE
10,2021,333,Stage with mountain(s),M,Leon Scieur,BEL,BE
11,2021,325,Stage with mountain(s),M,Félix Goethals,FRA,FR
12,2021,371,Plain stage,F,Honoré Barthélemy,FRA,FR
13,2021,300,Plain stage,F,Félix Sellier,BEL,BE
14,2021,433,Plain stage,F,Félix Goethals,FRA,FR
15,2021,340,Plain stage,F,Félix Goethals,FRA,FR
1,2020,388,Plain stage,F,Louis Mottiat,BEL,BE
2,2020,364,Plain stage,F,Philippe Thys,BEL,BE
3,2020,405,Plain stage,F,Henri Pélissier,FRA,FR
4,2020,412,Plain stage,F,Henri Pélissier,FRA,FR
5,2020,482,Plain stage,F,Firmin Lambot,BEL,BE
6,2020,326,Stage with mountain,M,Firmin Lambot,BEL,BE
7,2020,323,Stage with mountain,M,Jean Rossius,BEL,BE
8,2020,325,Plain stage,F,Louis Heusghem,BEL,BE
9,2020,356,Stage with mountain,M,Philippe Thys,BEL,BE
10,2020,333,Stage with mountain,M,Hector Heusghem,BEL,BE
11,2020,362,Stage with mountain,M,Léon Scieur,BEL,BE
12,2020,354,Plain stage,F,Philippe Thys,BEL,BE
13,2020,300,Plain stage,F,Philippe Thys,BEL,BE
14,2020,433,Plain stage,F,Félix Goethals,FRA,FR
15,2020,340,Plain stage,F,Jean Rossius,BEL,BE
1,2019,388,Plain stage,F,Jean Rossius,BEL,BE
2,2019,364,Plain stage,F,Henri Pélissier,FRA,FR
3,2019,405,Plain stage,F,Francis Pélissier,FRA,FR
4,2019,412,Plain stage,F,Jean Alavoine,FRA,FR
5,2019,482,Plain stage,F,Jean Alavoine,FRA,FR
6,2019,326,Stage with mountain,M,Honore Barthelemy,FRA,FR
7,2019,323,Stage with mountain,M,Jean Alavoine,FRA,FR
8,2019,370,Plain stage,F,Jean Alavoine,FRA,FR
9,2019,338,Stage with mountain,M,Honoré Barthélemy,FRA,FR
10,2019,333,Stage with mountain,M,Honoré Barthélemy,FRA,FR
11,2019,325,Stage with mountain,M,Honoré Barthélemy,FRA,FR
12,2019,371,Stage with mountain,M,Luigi Lucotti,ITA,IT
13,2019,315,Plain stage,F,Luigi Lucotti,ITA,IT
14,2019,468,Plain stage,F,Firmin Lambot,BEL,BE
15,2019,340,Plain stage,F,Jean Alavoine,FRA,FR
1,2014,388,Plain stage,F,Philippe Thys,BEL,BE
2,2014,364,Plain stage,F,Jean Rossius,BEL,BE
3,2014,405,Plain stage,F,Emile Engel,FRA,FR
4,2014,470,Plain stage,F,Oscar Egg,SUI,CH
5,2014,376,Plain stage,F,Oscar Egg,SUI,CH
6,2014,326,Stage with mountain(s),M,Firmin Lambot,BEL,BE
7,2014,323,Stage with mountain(s),M,Jean Alavoine,FRA,FR
8,2014,370,Plain stage,F,Octave Lapize,FRA,FR
9,2014,338,Stage with mountain(s),M,Jean Rossius,BEL,BE
10,2014,323,Stage with mountain(s),M,Henri Pélissier,FRA,FR
11,2014,325,Stage with mountain(s),M,Gustave Garrigou,FRA,FR
12,2014,325,Stage with mountain(s),M,Henri Pélissier,FRA,FR
13,2014,325,Stage with mountain(s),M,François Faber,LUX,LU
14,2014,390,Plain stage,F,François Faber,LUX,LU
15,2014,340,Plain stage,F,Henri Pélissier,FRA,FR
1,2013,388,Plain stage,F,Giovanni Micheletto,ITA,IT
2,2013,364,Plain stage,F,Jules Masselis,BEL,BE
3,2013,405,Plain stage,F,Henri Pelissier,FRA,FR
4,2013,470,Plain stage,F,Marcel Buysse,BEL,BE
5,2013,379,Plain stage,F,Henri Van Lerberghe,BEL,BE
6,2013,326,Stage with mountain(s),M,Philippe Thys,BEL,BE
7,2013,324,Stage with mountain(s),M,Marcel Buysse,BEL,BE
8,2013,325,Plain stage,F,Gustave Garrigou,FRA,FR
9,2013,356,Stage with mountain(s),M,Firmin Lambot,BEL,BE
10,2013,333,Stage with mountain(s),M,Francois Faber,LUX,LU
11,2013,325,Stage with mountain(s),M,Marcel Buysse,BEL,BE
12,2013,335,Stage with mountain(s),M,Marcel Buysse,BEL,BE
13,2013,325,Stage with mountain(s),M,François Faber,LUX,LU
14,2013,393,Plain stage,F,Marcel Buysse,BEL,BE
15,2013,340,Plain stage,F,Marcel Buysse,BEL,BE
1,2012,351,Plain stage,F,Charles Crupelandt,FRA,FR
2,2012,388,Plain stage,F,Odile Defraye,BEL,BE
3,2012,331,Stage with mountain(s),M,Eugène Christophe,FRA,FR
4,2012,344,Stage with mountain(s),M,Eugène Christophe,FRA,FR
5,2012,366,Stage with mountain(s),M,Eugène Christophe,FRA,FR
6,2012,323,Stage with mountain(s),M,Octave Lapize,FRA,FR
7,2012,334,Stage with mountain(s),M,Odile Defraye,BEL,BE
8,2012,335,Plain stage,F,Vicenzo Borgarello,ITA,IT
9,2012,289,Stage with mountain(s),M,Odile Defraye,BEL,BE
10,2012,326,Stage with mountain(s),M,Louis Mottiat,BEL,BE
11,2012,379,Plain stage,F,Jean Alavoine,FRA,FR
12,2012,470,Plain stage,F,Louis Heusghem,BEL,BE
13,2012,405,Plain stage,F,Jean Alavoine,FRA,FR
14,2012,361,Plain stage,F,Vicenzo Borgarello,ITA,IT
15,2012,317,Plain stage,F,Jean Alavoine,FRA,FR
1,2011,351,Plain stage,F,Gustave Garrigou,FRA,FR
2,2011,388,Plain stage,F,Jules Masselis,BEL,BE
3,2011,331,Stage with mountain(s),M,François Faber,LUX,LU
4,2011,344,Stage with mountain(s),M,Charles Crupelandt,FRA,FR
5,2011,366,Stage with mountain(s),M,Émile Georget,FRA,FR
6,2011,348,Stage with mountain(s),M,François Faber,LUX,LU
7,2011,334,Stage with mountain(s),M,Charles Crupelandt,FRA,FR
8,2011,335,Plain stage,F,Paul Duboc,FRA,FR
9,2011,289,Stage with mountain(s),M,Paul Duboc,FRA,FR
10,2011,326,Stage with mountain(s),M,Maurice Brocco,FRA,FR
11,2011,379,Plain stage,F,Paul Duboc,FRA,FR
12,2011,470,Plain stage,F,Marcel Godivier,FRA,FR
13,2011,405,Plain stage,F,Gustave Garrigou,FRA,FR
14,2011,361,Plain stage,F,Paul Duboc,FRA,FR
15,2011,317,Plain stage,F,Marcel Godivier,FRA,FR
1,2010,269,Plain stage,F,Charles Crupelandt,FRA,FR
2,2010,398,Plain stage,F,François Faber,LUX,LU
3,2010,259,Stage with mountain(s),M,Emile Georget,FRA,FR
4,2010,309,Stage with mountain(s),M,François Faber,LUX,LU
5,2010,311,Stage with mountain(s),M,Octave Lapize,FRA,FR
6,2010,345,Stage with mountain(s),M,Julien Maitron,FRA,FR
7,2010,345,Plain stage,F,François Faber,LUX,LU
8,2010,216,Plain stage,F,Georges Paulmier,FRA,FR
9,2010,289,Stage with mountain(s),M,Octave Lapize,FRA,FR
10,2010,326,Stage with mountain(s),M,Octave Lapize,FRA,FR
11,2010,269,Plain stage,F,Ernest Paul,FRA,FR
12,2010,391,Plain stage,F,Louis Trousselier,FRA,FR
13,2010,321,Plain stage,F,Gustave Garrigou,FRA,FR
14,2010,424,Plain stage,F,Octave Lapize,FRA,FR
15,2010,262,Plain stage,F,Ernesto Azzini,ITA,IT
1,2009,272,Plain stage,F,Cyrille van Hauwaert,BEL,BE
2,2009,398,Plain stage,F,François Faber,LUX,LU
3,2009,259,Stage with mountain(s),M,François Faber,LUX,LU
4,2009,309,Stage with mountain(s),M,François Faber,LUX,LU
5,2009,311,Stage with mountain(s),M,François Faber,LUX,LU
6,2009,346,Stage with mountain(s),M,François Faber,LUX,LU
7,2009,345,Plain stage,F,Ernest Paul,FRA,FR
8,2009,303,Plain stage,F,Jean Alavoine,FRA,FR
9,2009,299,Plain stage,F,Constant Ménager,FRA,FR
10,2009,269,Plain stage,F,François Faber,LUX,LU
11,2009,391,Plain stage,F,Louis Trousselier,FRA,FR
12,2009,321,Plain stage,F,Gustave Garrigou,FRA,FR
13,2009,424,Plain stage,F,Paul Duboc,FRA,FR
14,2009,250,Plain stage,F,Jean Alavoine,FRA,FR
1,2008,272,Plain stage,F,Georges Passerieu,FRA,FR
2,2008,398,Plain stage,F,Lucien Petit-Breton,FRA,FR
3,2008,259,Stage with mountain(s),M,François Faber,LUX,LU
4,2008,309,Stage with mountain(s),M,François Faber,LUX,LU
5,2008,311,Stage with mountain(s),M,Georges Passerieu,FRA,FR
6,2008,345,Stage with mountain(s),M,Jean-Baptiste Dortignacq,FRA,FR
7,2008,354,Plain stage,F,Lucien Petit-Breton,FRA,FR
8,2008,303,Plain stage,F,François Faber,LUX,LU
9,2008,299,Plain stage,F,Lucien Petit-Breton,FRA,FR
10,2008,269,Plain stage,F,Georges Paulmier,FRA,FR
11,2008,391,Plain stage,F,Lucien Petit-Breton,FRA,FR
12,2008,321,Plain stage,F,François Faber,LUX,LU
13,2008,415,Plain stage,F,Georges Passerieu,FRA,FR
14,2008,251,Plain stage,F,Lucien Petit-Breton,FRA,FR
1,2007,272,Plain stage,F,Louis Trousselier,FRA,FR
2,2007,398,Plain stage,F,Louis Trousselier,FRA,FR
4,2007,309,Stage with mountain(s),M,Marcel Cadolle,FRA,FR
5,2007,311,Stage with mountain(s),M,Emile Georget,FRA,FR
6,2007,345,Stage with mountain(s),M,Georges Passerieu,FRA,FR
7,2007,345,Plain stage,F,Emile Georget,FRA,FR
8,2007,303,Plain stage,F,Emile Georget,FRA,FR
9,2007,299,Plain stage,F,Lucien Petit-Breton,FRA,FR
10,2007,269,Plain stage,F,Gustave Garrigou,FRA,FR
11,2007,391,Plain stage,F,Lucien Petit-Breton,FRA,FR
12,2007,321,Plain stage,F,Gustave Garrigou,FRA,FR
13,2007,415,Plain stage,F,Emile Georget,FRA,FR
14,2007,251,Plain stage,F,Georges Passerieu,FRA,FR
1,2006,275,Plain stage,F,Emile Georget,FRA,FR
2,2006,400,Plain stage,F,René Pottier,FRA,FR
3,2006,416,Stage with mountain(s),M,René Pottier,FRA,FR
4,2006,311,Plain stage,F,René Pottier,FRA,FR
5,2006,345,Stage with mountain(s),M,René Pottier,FRA,FR
6,2006,292,Plain stage,F,Georges Passerieu,FRA,FR
7,2006,480,Plain stage,F,Louis Trousselier,FRA,FR
8,2006,300,Plain stage,F,Jean-Baptiste Dortignacq,FRA,FR
9,2006,338,Plain stage,F,Louis Trousselier,FRA,FR
10,2006,391,Plain stage,F,Louis Trousselier,FRA,FR
11,2006,321,Plain stage,F,Louis Trousselier,FRA,FR
12,2006,415,Plain stage,F,Georges Passerieu,FRA,FR
13,2006,259,Plain stage,F,René Pottier,FRA,FR
1,2005,340,Plain stage,F,Louis Trousselier,FRA,FR
2,2005,299,Stage with mountain(s),M,Hippolyte Aucouturier,FRA,FR
3,2005,327,Plain stage,F,Louis Trousselier,FRA,FR
4,2005,348,Stage with mountain(s),M,Hippolyte Aucouturier,FRA,FR
5,2005,192,Plain stage,F,Louis Trousselier,FRA,FR
6,2005,307,Plain stage,F,Jean-Baptiste Dortignacq,FRA,FR
7,2005,268,Plain stage,F,Louis Trousselier,FRA,FR
8,2005,257,Plain stage,F,Hippolyte Aucouturier,FRA,FR
9,2005,263,Plain stage,F,Louis Trousselier,FRA,FR
10,2005,167,Plain stage,F,Jean-Baptiste Dortignacq,FRA,FR
11,2005,253,Plain stage,F,Jean-Baptiste Dortignacq,FRA,FR
1,2004,467,Plain stage,F,Maurice Garin,FRA,FR
2,2004,374,Stage with mountain(s),M,Hippolyte Aucouturier,FRA,FR
3,2004,424,Plain stage,F,Hippolyte Aucouturier,FRA,FR
4,2004,268,Plain stage,F,Lucien Pothier,FRA,FR
5,2004,425,Plain stage,F,Hippolyte Aucouturier,FRA,FR
6,2004,471,Plain stage,F,Hippolyte Aucouturier,FRA,FR
1,2003,467,Plain stage,F,Maurice Garin,FRA,FR
2,2003,374,Stage with mountain(s),M,Hippolyte Aucouturier,FRA,FR
3,2003,423,Plain stage,F,Hippolyte Aucouturier,FRA,FR
4,2003,268,Plain stage,F,Charles Laeser,SUI,CH
5,2003,425,Plain stage,F,Maurice Garin,FRA,FR
6,2003,471,Plain stage,F,Maurice Garin,FRA,FR
